中文	繁體	英文	拼音	领域	适用法域	来源地区	类型	来源语境	学习注释	来源记录	条目ID	数据许可	译文审核	中文释义	译法说明	法律依据
审计人员任用条例	審計人員任用條例	Act of the Appointment of the Audit staff	shen3 ji4 ren2 yuan2 ren4 yong4 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1791	tw-judicial-870134538efba9a56dba	OGDL-Taiwan-1.0	source_attributed			
审计报告	審計報告	audit report	shen3 ji4 bao4 gao4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1796	tw-judicial-9de4f7961853248e64cc	OGDL-Taiwan-1.0	source_attributed			
审计机关	審計機關	Audit institutes	shen3 ji4 ji1 guan1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1797	tw-judicial-01641fe50c4bb53fc4a2	OGDL-Taiwan-1.0	source_attributed			
审计法	審計法	Audit Act	shen3 ji4 fa3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1792	tw-judicial-d1566b25dbc45147ae89	OGDL-Taiwan-1.0	source_attributed			
审计部	審計部	Ministry of Audit（National Audit Office）	shen3 ji4 bu4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1794	tw-judicial-bb2b7c3f5a003cbe944b	OGDL-Taiwan-1.0	source_attributed			
审计部组织法	審計部組織法	The Organization Act of the National Audit Office	shen3 ji4 bu4 zu3 zhi1 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1795	tw-judicial-4b97d72fff2d3554b625	OGDL-Taiwan-1.0	source_attributed			
审计长	審計長	Auditor-General	shen3 ji4 zhang3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1793	tw-judicial-82acb7bc596cc1bbdf1f	OGDL-Taiwan-1.0	source_attributed			
审议	審議	deliberation	shen3 yi4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1801	tw-judicial-b826dc2174d422b97d85	OGDL-Taiwan-1.0	source_attributed			
审问	審問	trial	shen3 wen4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1800	tw-judicial-80300ebc8841f068ed4a	OGDL-Taiwan-1.0	source_attributed			
宣告死亡	宣告死亡	judicial declaration of death	xuan1 gao4 si3 wang2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:890	tw-judicial-7c4004cfbb73d7529cdb	OGDL-Taiwan-1.0	source_attributed			
宣誓	宣誓	swear oath	xuan1 shi4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:891	tw-judicial-4131552e347bc2846270	OGDL-Taiwan-1.0	source_attributed			
宣誓书	宣誓書	verification	xuan1 shi4 shu1	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:599	tw-tipo-trademark-31627d325fca6efdbed5	OGDL-Taiwan-1.0	source_attributed			
宣誓书	宣誓書	affidavit	xuan1 shi4 shu1	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:17	tw-tipo-trademark-95dad0da2d2be688b79e	OGDL-Taiwan-1.0	source_attributed			
宣誓条例	宣誓條例	Oath Act	xuan1 shi4 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:892	tw-judicial-654b83d1251f35dd2fd6	OGDL-Taiwan-1.0	source_attributed			
宪法	憲法	constitution; Constitution	xian4 fa3	constitutional	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1894	tw-judicial-a49d5c6dbb73745ff8e6	OGDL-Taiwan-1.0	source_attributed			
宪法惯例;宪政惯例	憲法慣例;憲政慣例	constitutional convention		constitutional	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1897	tw-judicial-e6d997716173c43acd47	OGDL-Taiwan-1.0	source_attributed			
宪法法庭	憲法法庭	Constitutional Court	xian4 fa3 fa3 ting2	constitutional	待核查	TW	unclassified	司法行政廳		tw-judicial:1895	tw-judicial-75142f6356bc8c0231de	OGDL-Taiwan-1.0	source_attributed			
宪法解释	憲法解釋	interpretation of the Constitution	xian4 fa3 jie3 shi4	constitutional	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1896	tw-judicial-ee9b55cd2f9e8934cfb0	OGDL-Taiwan-1.0	source_attributed			
家事法庭	家事法庭	family court division	jia1 shi4 fa3 ting2	family	待核查	TW	unclassified	少年及家事廳		tw-judicial:995	tw-judicial-2aa1b06e14ee83a3a221	OGDL-Taiwan-1.0	source_attributed			
家事法院	家事法院	Family Court	jia1 shi4 fa3 yuan4	dispute_resolution,family	待核查	TW	institution	少年及家事廳		tw-judicial:996	tw-judicial-0e7cb9fbb9dc30bb0276	OGDL-Taiwan-1.0	source_attributed			
家事调查官	家事調查官	Family Matters Investigation Officer	jia1 shi4 diao4 cha2 guan1	family	待核查	TW	unclassified	司法行政廳		tw-judicial:997	tw-judicial-6d8d6f3b906aeb81d189	OGDL-Taiwan-1.0	source_attributed			
家属	家屬	household	jia1 shu3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1002	tw-judicial-531e9e514670e60f7231	OGDL-Taiwan-1.0	source_attributed			
家属赡养费	家屬贍養費	family maintenance	jia1 shu3 shan4 yang3 fei4	unclassified	待核查	TW	unclassified	少年及家事廳		tw-judicial:1003	tw-judicial-2208f2e8122f72d05f84	OGDL-Taiwan-1.0	source_attributed			
家庭暴力	家庭暴力	domestic violence	jia1 ting2 bao4 li4	unclassified	待核查	TW	unclassified	少年及家事廳		tw-judicial:998	tw-judicial-0b794ddfa0ef05eba714	OGDL-Taiwan-1.0	source_attributed			
家庭暴力事件联合服务处	家庭暴力事件聯合服務處	Coordinating Council for Victims of Domestic Violence	jia1 ting2 bao4 li4 shi4 jian4 lian2 he2 fu2 wu4 chu4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1000	tw-judicial-5afc92345c4804a52610	OGDL-Taiwan-1.0	source_attributed			
家庭暴力案件	家庭暴力案件	domestic violence cases	jia1 ting2 bao4 li4 an4 jian4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1001	tw-judicial-4313448c77a2c7af6b5a	OGDL-Taiwan-1.0	source_attributed			
家庭暴力防治法	家庭暴力防治法	Domestic Violence Prevention Act	jia1 ting2 bao4 li4 fang2 zhi4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:999	tw-judicial-50a52869e7b8302a630d	OGDL-Taiwan-1.0	source_attributed			
家族系列商标	家族系列商標	family of marks	jia1 zu2 xi4 lie4 shang1 biao1	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:215	tw-tipo-trademark-c33c2a4857c84b863779	OGDL-Taiwan-1.0	source_attributed			
察觉、感知、意识到、理解	察覺、感知、意識到、理解	perceive		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:406	tw-tipo-trademark-0786e1c7a6043c172b50	OGDL-Taiwan-1.0	source_attributed			
对…有（行使）管辖权	對…有（行使）管轄權	to take jurisdiction over		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:333	tw-tipo-trademark-ac94a1b85b3aa01ba38e	OGDL-Taiwan-1.0	source_attributed			
对外贸易	對外貿易	foreign trade	dui4 wai4 mao4 yi4	trade	CN	INTERNATIONAL	term	中华人民共和国对外贸易法（2025第二次修订）	第二条给出法定范围；本法同时适用于与对外贸易有关的知识产权保护。第八十二条又明确中华人民共和国单独关税区不适用本法。	oll-cn-tax-trade:cn-foreign-trade	cn-foreign-trade	CC-BY-4.0	project_authored	《对外贸易法》所称的货物进出口、技术进出口和国际服务贸易。	项目释译，非官方译文；foreign trade 按本法定义使用，不泛化到所有跨境经济活动。	中华人民共和国对外贸易法（2025第二次修订） 第2,82条 https://www.baiyinqu.gov.cn/XZJDBMDW/bmdw/byqswjn/fdzdgknr/lzyj/zcfg/art/2025/art_f4f31ac31bb8407a8b8d6afd5ac8f411.html
对外贸易救济措施	對外貿易救濟措施	trade remedy measures	dui4 wai4 mao4 yi4 jiu4 ji4 cuo4 shi1	trade	CN	INTERNATIONAL	term	中华人民共和国对外贸易法（2025第二次修订）	第四十四条规定可根据对外贸易调查结果采取适当救济措施；第四十五、四十七、四十八条分别涉及反倾销、反补贴和保障措施。	oll-cn-tax-trade:cn-trade-remedy-measures	cn-trade-remedy-measures	CC-BY-4.0	project_authored	国家根据法定调查和条件，为应对倾销、补贴、进口激增等对国内产业造成的损害或威胁而采取的贸易救济措施。	项目释译，非官方译文；trade remedy measures 是上位概念，具体措施应分别适用各自法定条件。	中华人民共和国对外贸易法（2025第二次修订） 第41,44,45,47,48条 https://www.baiyinqu.gov.cn/XZJDBMDW/bmdw/byqswjn/fdzdgknr/lzyj/zcfg/art/2025/art_f4f31ac31bb8407a8b8d6afd5ac8f411.html
对外贸易经营者	對外貿易經營者	foreign trade operator	dui4 wai4 mao4 yi4 jing1 ying2 zhe3	trade	CN	INTERNATIONAL	role	中华人民共和国对外贸易法（2025第二次修订）	第十一条以是否依法办理相关登记或执业手续并从事对外贸易活动界定经营者；不能仅以是否为公司判断。	oll-cn-tax-trade:cn-foreign-trade-operator	cn-foreign-trade-operator	CC-BY-4.0	project_authored	依法办理经营主体登记或者其他执业手续，并依有关法律、行政法规从事对外贸易活动的个人或组织。	项目释译，非官方译文；foreign trade operator 对应本法法定主体称谓。	中华人民共和国对外贸易法（2025第二次修订） 第11条 https://www.baiyinqu.gov.cn/XZJDBMDW/bmdw/byqswjn/fdzdgknr/lzyj/zcfg/art/2025/art_f4f31ac31bb8407a8b8d6afd5ac8f411.html
对外贸易调查	對外貿易調查	foreign trade investigation	dui4 wai4 mao4 yi4 diao4 cha2	trade	CN	INTERNATIONAL	action	中华人民共和国对外贸易法（2025第二次修订）	第四十一条列举调查事项，第四十二条规定启动公告、问卷、听证、实地或委托调查以及调查报告或处理裁定等程序。	oll-cn-tax-trade:cn-foreign-trade-investigation	cn-foreign-trade-investigation	CC-BY-4.0	project_authored	国务院对外贸易主管部门自行或会同其他有关部门，依法对影响对外贸易秩序、国内产业、贸易壁垒、贸易救济等事项开展的调查。	项目释译，非官方译文；foreign trade investigation 指本法调查机制，不等同于某一种反倾销调查。	中华人民共和国对外贸易法（2025第二次修订） 第41,42条 https://www.baiyinqu.gov.cn/XZJDBMDW/bmdw/byqswjn/fdzdgknr/lzyj/zcfg/art/2025/art_f4f31ac31bb8407a8b8d6afd5ac8f411.html
对智慧局不具约束力	對智慧局不具約束力	It is not binding upon the TIPO	dui4 zhi4 hui4 ju2 bu4 ju4 yue1 shu4 li4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:51	tw-tipo-trademark-a5414844f43d3bb832f0	OGDL-Taiwan-1.0	source_attributed			
寺庙登记规则	寺廟登記規則	Rules Governing the Registration of Temple	si4 miao4 deng1 ji4 gui1 ze2	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:499	tw-judicial-308710f4236b35a7ba87	OGDL-Taiwan-1.0	source_attributed			
导师	導師	Counselor	dao3 shi1	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1893	tw-judicial-98e3b48c288043349568	OGDL-Taiwan-1.0	source_attributed			
少年事件处理法	少年事件處理法	Juvenile Delinquency Act	shao4 nian2 shi4 jian4 chu3 li3 fa3	family	待核查	TW	statute	少年及家事廳		tw-judicial:217	tw-judicial-11ea4cab5d3ca106ddff	OGDL-Taiwan-1.0	source_attributed			
少年保护官	少年保護官	juvenile Probation Officer	shao4 nian2 bao3 hu4 guan1	family	待核查	TW	unclassified	少年及家事廳		tw-judicial:220	tw-judicial-e57a3f581efe5d921ba8	OGDL-Taiwan-1.0	source_attributed			
少年候审室	少年候審室	Juvenile Trial Waiting Room	shao4 nian2 hou4 shen3 shi4	family	待核查	TW	unclassified	司法行政廳		tw-judicial:221	tw-judicial-f66cb0793fdfa825323d	OGDL-Taiwan-1.0	source_attributed			
少年及家事厅	少年及家事廳	Juvenile and Family Department	shao4 nian2 ji2 jia1 shi4 ting1	family	待核查	TW	unclassified	司法行政廳		tw-judicial:214	tw-judicial-244c29d6d53ec7514ede	OGDL-Taiwan-1.0	source_attributed			
少年及家事法庭	少年及家事法庭	juvenile and family court division	shao4 nian2 ji2 jia1 shi4 fa3 ting2	family	待核查	TW	unclassified	少年及家事廳		tw-judicial:211	tw-judicial-eac1458c28f5c1495a10	OGDL-Taiwan-1.0	source_attributed			
少年及家事法院	少年及家事法院	Juvenile and Family Court	shao4 nian2 ji2 jia1 shi4 fa3 yuan4	dispute_resolution,family	待核查	TW	institution	少年及家事廳		tw-judicial:212	tw-judicial-a6f85336afde23b410ee	OGDL-Taiwan-1.0	source_attributed			
少年及家事纪录科	少年及家事紀錄科	Juvenile ＆ Domestic Recording Section	shao4 nian2 ji2 jia1 shi4 ji4 lu4 ke1	family	待核查	TW	unclassified	司法行政廳		tw-judicial:213	tw-judicial-dc70f425c7bcedb6b54f	OGDL-Taiwan-1.0	source_attributed			
少年法庭	少年法庭	juvenile court division	shao4 nian2 fa3 ting2	family	待核查	TW	unclassified	少年及家事廳		tw-judicial:218	tw-judicial-b84472b66c40db419729	OGDL-Taiwan-1.0	source_attributed			
少年法院	少年法院	Juvenile Court	shao4 nian2 fa3 yuan4	dispute_resolution,family	待核查	TW	institution	少年及家事廳		tw-judicial:219	tw-judicial-2a71af66221687044425	OGDL-Taiwan-1.0	source_attributed			
少年犯	少年犯	juvenile delinquent	shao4 nian2 fan4	family	待核查	TW	unclassified	少年及家事廳		tw-judicial:215	tw-judicial-d5303e686b97fb921b7e	OGDL-Taiwan-1.0	source_attributed			
少年犯罪	少年犯罪	juvenile delinquency	shao4 nian2 fan4 zui4	criminal,family	待核查	TW	unclassified	少年及家事廳		tw-judicial:216	tw-judicial-f1f93266e02a780642cf	OGDL-Taiwan-1.0	source_attributed			
少年矫正学校	少年矯正學校	Juvenile Reformatory School	shao4 nian2 jiao3 zheng4 xue2 xiao4	family	待核查	TW	unclassified	少年及家事廳		tw-judicial:224	tw-judicial-7dbdccc05d5d80b42698	OGDL-Taiwan-1.0	source_attributed			
少年福利法	少年福利法	Juvenile Welfare Act	shao4 nian2 fu2 li4 fa3	family	待核查	TW	statute	憲法法庭書記廳		tw-judicial:222	tw-judicial-d72d9c49c63b97eb888c	OGDL-Taiwan-1.0	source_attributed			
少年观护所	少年觀護所	juvenile Detention House	shao4 nian2 guan1 hu4 suo3	family	待核查	TW	unclassified	少年及家事廳		tw-judicial:225	tw-judicial-84d564532b1d6ebbbc0d	OGDL-Taiwan-1.0	source_attributed			
少年调查官	少年調查官	Juvenile Investigation Officer	shao4 nian2 diao4 cha2 guan1	family	待核查	TW	unclassified	少年及家事廳		tw-judicial:223	tw-judicial-74f61acf8275a786400c	OGDL-Taiwan-1.0	source_attributed			
就源扣缴	就源扣繳	withholding at source	jiu4 yuan2 kou4 jiao3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1407	tw-judicial-ad4526a522bc12f6d683	OGDL-Taiwan-1.0	source_attributed			
就职	就職	inauguration	jiu4 zhi2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1408	tw-judicial-a73fdf2889f37edd9684	OGDL-Taiwan-1.0	source_attributed			
尽速补偿	儘速補償	prompt compensation	jin3 su4 bu3 chang2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1881	tw-judicial-f054a4135e9cbaab0324	OGDL-Taiwan-1.0	source_attributed			
局通知函	局通知函	office action	ju2 tong1 zhi1 han2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:377	tw-tipo-trademark-bbcce0892ea1ec58948c	OGDL-Taiwan-1.0	source_attributed			
居住权	居住權	right of habitation	ju1 zhu4 quan2	property,civil	CN	INTERNATIONAL	term	中华人民共和国民法典（2020）	条文语境中的居住权是物权类型，不是日常描述的居住事实。	oll-cn-core:cn-right-of-habitation	cn-right-of-habitation	CC-BY-4.0	project_authored	按合同约定对他人住宅享有占有、使用，以满足生活居住需要的用益物权。	项目释译，非官方译文；不直接等同租赁权。	中华人民共和国民法典（2020） 第366条 https://www.court.gov.cn/zixun/xiangqing/233181.html
居住自由	居住自由	freedom of residence	ju1 zhu4 zi4 you2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:722	tw-judicial-5b196f46cb2296275aec	OGDL-Taiwan-1.0	source_attributed			
居住迁徙自由	居住遷徙自由	freedom of residence and migration	ju1 zhu4 qian1 xi3 zi4 you2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:723	tw-judicial-4855e2dd2b00abe7d656	OGDL-Taiwan-1.0	source_attributed			
届期未受清偿	屆期未受清償	default	jie4 qi1 wei4 shou4 qing1 chang2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:724	tw-judicial-0620c20d83b9b485ece4	OGDL-Taiwan-1.0	source_attributed			
届满日	屆滿日	the expiration date	jie4 man3 ri4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:209	tw-tipo-trademark-46924e5a27013196894b	OGDL-Taiwan-1.0	source_attributed			
展期、延展	展期、延展	renewal		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:488	tw-tipo-trademark-a984a71445eaec2e08d9	OGDL-Taiwan-1.0	source_attributed			
履行、完成	履行、完成	implementation		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:283	tw-tipo-trademark-69a52ed211d353513e7f	OGDL-Taiwan-1.0	source_attributed			
履行债务	履行債務	perform obligations	lv3 xing2 zhai4 wu4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1802	tw-judicial-8d5c67d8bf4837100cd8	OGDL-Taiwan-1.0	source_attributed			
山坡地保育利用条例	山坡地保育利用條例	Slopland Conservation and Utilization Act	shan1 po1 di4 bao3 yu4 li4 yong4 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:63	tw-judicial-34f5ef2f4aefecfcdcdd	OGDL-Taiwan-1.0	source_attributed			
岁入	歲入	Annual Revenue	sui4 ru4	unclassified	待核查	TW	unclassified	會計處		tw-judicial:1553	tw-judicial-8e585b7e59890c96010d	OGDL-Taiwan-1.0	source_attributed			
岁出	歲出	Annual Expenditures	sui4 chu1	unclassified	待核查	TW	unclassified	會計處		tw-judicial:1554	tw-judicial-1c7cd4c5a8023345f864	OGDL-Taiwan-1.0	source_attributed			
